ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85051640872,An Empirical Evaluation of Rule Extraction from Recurrent Neural Networks.,2018,Neural Computation,Qinglong Wang,Kaixuan Zhang,Alexander G. Ororbia II,Xinyu Xing,Xue Liu,C. Lee Giles,,,,,,,
2-s2.0-85050917611,Learning Data Manifolds with a Cutting Plane Method.,2018,Neural Computation,SueYeon Chung,Uri Cohen,Haim Sompolinsky,Daniel D. Lee,,,,,,,,,
2-s2.0-85054017089,Recognition Dynamics in the Brain under the Free Energy Principle.,2018,Neural Computation,Chang Sub Kim,,,,,,,,,,,,
2-s2.0-85054005582,Computing with Spikes: The Advantage of Fine-Grained Timing.,2018,Neural Computation,Stephen J. Verzi,Fredrick H. Rothganger,Ojas Parekh,Tu-Thach Quach,Nadine E. Miner,Craig M. Vineyard,Conrad D. James,James B. Aimone,,,,,
2-s2.0-85054006192,Hexagonal Grid Fields Optimally Encode Transitions in Spatiotemporal Sequences.,2018,Neural Computation,Nicolai Waniek,,,,,,,,,,,,
2-s2.0-85054024854,CosMIC: A Consistent Metric for Spike Inference from Calcium Imaging.,2018,Neural Computation,Stephanie Reynolds,Therese Abrahamsson,Per Jesper Sjstrm,Simon R. Schultz,Pier Luigi Dragotti,,,,,,,,
2-s2.0-85054013690,Autoregressive Point Processes as Latent State-Space Models: A Moment-Closure Approach to Fluctuations and Autocorrelations.,2018,Neural Computation,Michael Rule,Guido Sanguinetti,,,,,,,,,,,
2-s2.0-85054033097,Adaptive Learning Algorithm Convergence in Passive and Reactive Environments.,2018,Neural Computation,Richard M. Golden,,,,,,,,,,,,
2-s2.0-85054034083,Improving Stock Closing Price Prediction Using Recurrent Neural Network and Technical Indicators.,2018,Neural Computation,Tingwei Gao,Yueting Chai,,,,,,,,,,,
2-s2.0-85055621312,Applications of Recurrent Neural Networks in Environmental Factor Forecasting: A Review.,2018,Neural Computation,Yingyi Chen,Qianqian Cheng,Yanjun Cheng,Hao Yang,HuiHui Yu,,,,,,,,
2-s2.0-85055670922,Diplomats' Mystery Illness and Pulsed Radiofrequency/Microwave Radiation.,2018,Neural Computation,Beatrice A. Golomb,,,,,,,,,,,,
2-s2.0-85055648740,Robust Closed-Loop Control of a Cursor in a Person with Tetraplegia using Gaussian Process Regression.,2018,Neural Computation,David M. Brandman,Michael C. Burkhart,Jessica N. Kelemen,Brian Franco,Matthew T. Harrison,Leigh R. Hochberg,,,,,,,
2-s2.0-85055268905,A Simple Model for Low Variability in Neural Spike Trains.,2018,Neural Computation,Ulisse Ferrari,St¨¦phane Deny,Olivier Marre,Thierry Mora,,,,,,,,,
2-s2.0-85055651480,"Circuit Polarity Effect of Cortical Connectivity, Activity, and Memory.",2018,Neural Computation,Yoram Baram,,,,,,,,,,,,
