ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84966326651,MIMO transmit scheme based on morphological perceptron with competitive learning.,2016,Evolutionary Computation,Raul Ambrozio Valente,Taufik Abrão,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84979258289,A swarm-trained k-nearest prototypes adaptive classifier with automatic feature selection for interval data.,2016,Evolutionary Computation,Telmo de Menezes e Silva Filho,Renata M. C. R. Souza,Ricardo B. C. Prudêncio,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84965120679,Global exponential stability for switched memristive neural networks with time-varying delays.,2016,Evolutionary Computation,Youming Xin,Yuxia Li,Zunshui Cheng,Xia Huang,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84966264868,Distributed semi-supervised support vector machines.,2016,Evolutionary Computation,Simone Scardapane,Roberto Fierimonte,Paolo Di Lorenzo,Massimo Panella,Aurelio Uncini,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84966457204,Binary classification SVM-based algorithms with interval-valued training data using triangular and Epanechnikov kernels.,2016,Evolutionary Computation,Lev V. Utkin,Anatoly I. Chekh,Yulia A. Zhuk,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84966549166,Synthesis of recurrent neural networks for dynamical system simulation.,2016,Evolutionary Computation,Adam P. Trischler,Gabriele M. T. D'Eleuterio,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84968662576,Meta-cognitive online sequential extreme learning machine for imbalanced and concept-drifting data classification.,2016,Evolutionary Computation,Bilal Mirza,Zhiping Lin,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84969240506,Parsimonious kernel extreme learning machine in primal via Cholesky factorization.,2016,Evolutionary Computation,Yong-Ping Zhao,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84969160292,A recurrent neural network for adaptive beamforming and array correction.,2016,Evolutionary Computation,Hangjun Che,Chuandong Li,Xing He,Tingwen Huang,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84969930870,Global exponential stability of impulsive complex-valued neural networks with both asynchronous time-varying and continuously distributed delays.,2016,Evolutionary Computation,Qiankun Song,Huan Yan,Zhenjiang Zhao,Yurong Liu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84969931857,A note on finite-time and fixed-time stability.,2016,Evolutionary Computation,Wenlian Lu,Xiwei Liu,Tianping Chen,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84973162513,Synchronization of fractional-order complex-valued neural networks with time delay.,2016,Evolutionary Computation,Haibo Bao,Ju H. Park,Jinde Cao,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84973126848,Real-time object tracking based on scale-invariant features employing bio-inspired hardware.,2016,Evolutionary Computation,Shinsuke Yasukawa,Hirotsugu Okuno,Kazuo Ishii,Tetsuya Yagi,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84989903077,A neural model of the frontal eye fields with reward-based learning.,2016,Evolutionary Computation,Weijie Ye,Shenquan Liu,Xuanliang Liu,Yuguo Yu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84973454157,New results on anti-synchronization of switched neural networks with time-varying delays and lag signals.,2016,Evolutionary Computation,Yuting Cao,Shiping Wen,Michael Z. Q. Chen,Tingwen Huang,Zhigang Zeng,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84976286499,Pseudo-inverse linear discriminants for the improvement of overall classification accuracies.,2016,Evolutionary Computation,Daqi Gao,Dastagir Ahmed,Guo Lili,Wang Zejian,Wang Zhe,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84977568294,Neural network training as a dissipative process.,2016,Evolutionary Computation,Marco Gori,Marco Maggini,Alessandro Rossi,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84977562383,Pointwise and uniform approximation by multivariate neural network operators of the max-product type.,2016,Evolutionary Computation,Danilo Costarelli,Gianluca Vinti,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84977260565,Extreme learning machine and adaptive sparse representation for image classification.,2016,Evolutionary Computation,Jiuwen Cao,Kai Zhang,Minxia Luo,Chun Yin,Xiaoping Lai,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84978539099,Micro-level dynamics of the online information propagation: A user behavior model based on noisy spiking neurons.,2016,Evolutionary Computation,Ilias N. Lymperopoulos,George D. Ioannou,,,,,,,,,,,,,,,,,,,,,,,,,,
